"       MASTER SPREADSHEET                        Fourteen Select Indexes - Daily Closing Values    January 1986 - July 26, 2019",,,,,,,,,,,,,,
"Sources: Bloomberg and Cboe Exchange, Inc.",Data providers such as Bloomberg (phone: 212-318-2000) can provide historical data for a fee.      Also visit www.Cboe.com/TradTool/,Past performance is not a guarantee of future returns.,"Supporting documentation for statistics or other technical data is available by calling 1-888-OPTIONS, sending an e-mail to help@Cboe.com, or by visiting www.Cboe.com. ","Options involve risk and are not suitable for all investors. Prior to buying or selling an option, a person must receive a copy of Characteristics and Risks of Standardized Options",,Please visit www.Cboe.com and us.spindices.com  for more information and disclosures.  ,"This spreadsheet is updated about once a year, and is based on data from secondary sources believed (but not guaranteed) to be accurate.",Indexes are not investable,,,,,,
10-Jul-86,90.75,,243.01,89.07,98,,,19.27,97.66,100.82,97.91,98.36,100.15,96.98
11-Jul-86,90.5,,242.22,88.99,97.79,,,19.26,97.35,100.64,97.73,98.16,100.18,96.66
14-Jul-86,89.03,,238.11,87.79,96.62,,,20.05,95.71,98.01,96.54,96.67,98.97,95.27
15-Jul-86,87.37,,233.66,86.85,95.35,,,20.92,93.93,96.29,95.23,95.27,97.43,93.86
16-Jul-86,87.89,,235.01,86.75,96,,,21.16,94.48,95.89,95.97,95.49,97.74,94.37
17-Jul-86,88.29,,236.07,87,96.18,,,21.28,94.91,95.74,96.41,95.85,98.95,94.49
18-Jul-86,88.43,,236.36,87.38,96.14,,,21.59,95.09,95.99,96.24,96.1,100.58,94.27
21-Jul-86,88.48,,236.24,87.38,96.28,,,20.76,95.15,95.89,96.41,96.12,100.5,94.14
22-Jul-86,88.98,,238.18,87.8,96.66,,,20,95.82,96.17,96.85,96.69,100.89,94.87
23-Jul-86,89.27,,238.67,87.74,96.97,,,20.23,96.1,96.13,97.18,96.81,100.92,95.08
24-Jul-86,89.06,,237.95,87.84,96.66,,,20.12,95.86,96.32,96.85,96.74,101.06,94.79
25-Jul-86,89.55,,240.22,88.35,97.02,,,19.69,96.57,96.64,97.27,97.38,101.14,95.66
28-Jul-86,88.88,,236.01,87.53,96.34,,,19.43,95.44,96.46,96.63,96.35,101.38,94.05
29-Jul-86,88.41,,234.55,87.59,95.79,,,18.98,94.91,96.57,96.1,96.12,101.59,93.44
30-Jul-86,88.96,,236.59,88.13,96.02,,,19.44,95.67,97.1,96.55,96.8,101.87,94.22
31-Jul-86,88.96,,236.12,88.1,95.89,,,19.57,95.57,97.25,96.47,96.73,102.08,94.04
01-Aug-86,88.78,,234.91,87.78,95.82,,,19.38,95.18,97.13,96.32,96.36,101.97,93.57
04-Aug-86,88.99,,235.99,88.25,95.91,,,19.46,95.57,97.59,96.45,96.81,102.34,94.01
05-Aug-86,89.33,,237.03,88.42,96.11,,,19.58,95.98,97.77,96.73,97.11,102.55,94.43
06-Aug-86,89.32,,236.84,88.52,95.99,,,19.6,95.92,98,96.63,97.14,102.75,94.37
07-Aug-86,89.44,,237.04,88.63,96.08,,,20.49,96.07,98.24,96.74,97.27,102.7,94.46
08-Aug-86,89.53,,236.88,88.64,95.93,,,20.07,96.06,98.49,96.7,97.28,102.84,94.4
11-Aug-86,90.36,,240.68,89.16,96.81,,,19.42,97.44,98.29,97.93,98.25,102.89,95.93
12-Aug-86,90.91,,243.34,89.25,97.53,,,18.48,98.37,97.59,98.83,98.78,102.91,97
13-Aug-86,91.11,,245.67,89.28,98.32,,,19.12,99,96.48,99.4,99.11,102.74,97.94
14-Aug-86,90.92,,246.25,89.29,98.4,,,18.58,99.19,95.71,99.54,99.22,102.88,98.18
15-Aug-86,91.12,,247.15,89.27,98.73,,,17.96,99.49,95.4,99.69,99.32,102.94,98.53
18-Aug-86,91.14,,247.38,89.36,98.76,,,17.79,99.66,95.55,99.8,99.44,103.3,98.64
19-Aug-86,90.99,,246.51,89.3,98.45,,,17.75,99.37,95.61,99.57,99.26,103.12,98.28
20-Aug-86,91.7,,249.77,89.79,99.56,,,17.65,100.37,95.77,100.38,100.04,103.54,99.54
21-Aug-86,91.72,,249.67,89.8,99.54,,,17.97,100.38,95.72,100.4,100.05,103.69,99.51
22-Aug-86,91.92,,250.19,89.94,99.75,,,17.87,100.66,95.94,100.61,100.28,103.57,99.7
25-Aug-86,91.44,,247.81,89.8,98.89,,,17.83,99.97,96.1,99.96,99.84,103.62,98.75
26-Aug-86,92.35,,252.84,90.32,100.67,,,17.74,101.35,95.78,101.24,100.82,103.96,100.75
27-Aug-86,92.51,,253.3,90.37,100.85,,,17.71,101.5,95.86,101.37,100.93,104.05,100.92
28-Aug-86,92.51,,252.84,90.4,100.69,,,18.42,101.45,96.08,101.29,100.93,104.06,100.75
29-Aug-86,92.78,,252.93,90.39,100.78,,,18.53,101.67,96.24,101.5,101.04,104.08,100.79
02-Sep-86,92.15,,248.52,90.01,99.18,,,18.61,100.59,96.84,100.47,100.26,103.89,99.04
03-Sep-86,92.36,,250.08,90.29,99.79,,,18.77,101,96.8,100.83,100.63,104.04,99.68
04-Sep-86,92.79,,253.83,90.62,101.18,,,19.21,101.9,96.09,101.71,101.27,104.18,101.18
05-Sep-86,92.5,,250.47,90.36,99.95,,,19.73,101.18,96.85,100.95,100.77,104.13,99.85
08-Sep-86,91.95,,248.14,90.29,99.06,,,19.93,100.42,97.15,100.21,100.33,104.12,98.93
09-Sep-86,91.94,,247.67,90.34,98.9,,,19.41,100.34,97.42,100.09,100.33,104.2,98.75
10-Sep-86,91.85,,247.06,90.24,98.68,,,20.02,100.16,97.41,99.95,100.18,104.15,98.51
11-Sep-86,88.01,,235.18,86.49,95.5,,,23.81,95.61,92.89,97.44,95.84,99.88,94.52
12-Sep-86,86.33,,230.67,85.06,94.98,,,27.69,93.78,91.75,96.18,94.14,97.68,93.58
15-Sep-86,86.89,,231.94,85.38,94.9,,,25.75,94.31,91.46,96.88,94.57,97.85,93.52
16-Sep-86,86.81,,231.72,85.58,94.62,,,25.44,94.23,91.52,96.83,94.65,98,93.27
17-Sep-86,86.81,,231.68,85.59,94.51,,,23.31,94.22,91.29,96.92,94.65,97.75,93.11
18-Sep-86,87.05,,232.31,86.1,94.32,,,24.25,94.48,91.7,96.97,95.07,98.62,93.08
19-Sep-86,87.04,,232.21,86.21,93.87,,,23.65,94.51,91.36,96.92,95.08,98.74,92.64
22-Sep-86,87.55,,234.93,86.83,94.43,,,22.63,95.36,91.29,97.48,95.84,98.35,93.41
23-Sep-86,87.49,,235.67,87.1,94.51,,,22.95,95.4,91.24,97.42,96.02,97.93,93.64
24-Sep-86,87.68,,236.28,87.14,94.75,,,23.11,95.63,91.17,97.63,96.16,97.83,93.88
25-Sep-86,86.86,,231.83,86.41,93.51,,,24.54,94.45,91.3,96.74,95.16,98.83,92.39
26-Sep-86,86.99,,232.23,86.59,93.69,,,24.62,94.61,91.44,96.85,95.34,98.72,92.47
29-Sep-86,86.47,,229.91,86.3,93,,,24.62,93.92,91.52,96.26,94.82,99.07,91.64
30-Sep-86,86.94,,231.32,86.62,93.49,,,24.76,94.5,91.74,96.78,95.3,99.22,92.08
01-Oct-86,87.51,,233.6,87.06,94.13,,,24.88,95.25,91.91,97.33,95.92,98.99,92.89
02-Oct-86,87.62,,233.92,87.17,94.17,,,24.87,95.38,91.96,97.46,96.05,99,92.96
03-Oct-86,87.72,,233.71,87.09,94.17,,,25.92,95.39,92.15,97.5,96.02,99.21,92.88
06-Oct-86,88.01,,234.78,87.4,94.46,,,25.11,95.79,92.41,97.8,96.38,99.14,93.25
07-Oct-86,87.96,,234.41,87.46,94.3,,,25.65,95.74,92.6,97.72,96.39,99.27,93.1
08-Oct-86,88.55,,236.68,87.82,95.03,,,24.99,96.57,92.74,98.39,97.01,99.1,93.96
09-Oct-86,88.59,,235.85,87.78,94.81,,,25.46,96.44,93.17,98.35,96.93,99.55,93.6
10-Oct-86,88.52,,235.48,87.97,94.62,,,24.3,96.39,93.68,98.22,97.01,99.7,93.45
13-Oct-86,88.62,,235.91,88.21,94.65,,,24.79,96.6,94,98.37,97.24,99.74,93.62
14-Oct-86,88.89,,235.37,88.25,94.54,,,24.04,96.59,95.19,98.42,97.26,99.88,93.41
15-Oct-86,89.26,,238.8,88.36,95.56,,,22.06,97.7,93.12,99.38,97.89,99.78,94.78
16-Oct-86,89.57,,239.53,88.39,95.79,,,22.09,88.48,93.17,92.17,93.21,99.91,95.08
17-Oct-86,89.38,,238.84,88.34,95.61,,,21.16,98.14,93.29,99.6,98.06,99.91,94.8
20-Oct-86,88.63,,235.97,87.95,94.76,,,21.21,97.24,93.25,98.85,97.39,99.67,93.83
21-Oct-86,88.65,,235.88,88.08,94.66,,,20.81,97.26,93.39,98.81,97.48,99.76,93.72
22-Oct-86,88.8,,236.26,88.24,94.8,,,20.64,97.42,93.53,98.93,97.64,99.9,93.81
23-Oct-86,89.41,,239.28,88.96,95.54,,,20.54,98.36,93.7,99.74,98.52,100.51,94.73
24-Oct-86,89.44,,238.26,88.8,95.4,,,20.34,98.23,94.03,99.62,98.36,100.4,94.38
27-Oct-86,89.5,,238.77,89.03,95.5,,,19.85,98.37,94.13,99.7,98.55,100.61,94.53
28-Oct-86,89.71,,239.26,89.09,95.72,,,19.9,98.62,94.27,99.93,98.72,100.65,94.72
29-Oct-86,89.98,,240.94,89.37,96.25,,,20.2,99.11,93.98,100.44,99.12,100.83,95.32
30-Oct-86,90.52,,243.71,89.67,97.05,,,20.01,99.88,93.81,101.23,99.68,100.94,96.37
31-Oct-86,90.63,,243.98,89.76,97.19,,,19.23,100.05,93.83,101.38,99.82,100.99,96.48
03-Nov-86,91.02,,245.8,89.92,97.85,,,18.57,100.58,93.47,102.03,100.16,101.1,97.18
04-Nov-86,90.95,,246.2,90.01,97.95,,,18.71,100.55,93.12,102.09,100.2,101.21,97.31
05-Nov-86,90.94,,246.58,90.06,98.07,,,18.36,100.66,92.85,102.21,100.29,101.23,97.47
06-Nov-86,91.1,,245.87,90.07,98.01,,,18.34,100.75,93.52,102.17,100.34,101.21,97.21
07-Nov-86,91.07,,245.77,90.11,98.01,,,18.27,100.71,93.45,102.17,100.35,101.29,97.16
10-Nov-86,91.08,,246.13,90.19,98.12,,,18.03,100.82,93.28,102.27,100.43,101.31,97.32
11-Nov-86,91.31,,247.08,90.24,98.49,,,17.74,101.18,93.04,102.66,100.64,101.36,97.7
12-Nov-86,91.29,,246.64,90.25,98.35,,,18.15,101.11,93.31,102.53,100.62,101.37,97.53
13-Nov-86,91.23,,243.02,90.18,97.25,,,19.2,100.56,95.77,101.53,100.31,101.39,96.11
14-Nov-86,91.21,,244.5,90.25,97.75,,,18.68,100.89,94.55,102,100.52,101.4,96.7
17-Nov-86,91.25,,243.21,90.31,97.33,,,18.83,100.62,95.77,101.61,100.4,101.45,96.2
18-Nov-86,90.07,,236.78,89.88,94.93,,,20.04,98.35,97.9,99.1,99.02,101.47,93.67
19-Nov-86,90.35,,237.66,90.16,95.28,,,19.43,98.74,98.38,99.46,99.37,101.49,94.03
20-Nov-86,91.5,,242.05,90.37,96.93,,,18.56,100.55,97.56,101.28,100.41,101.5,95.77
21-Nov-86,91.53,,245.86,90.39,98.46,,,18.53,101.87,93.85,102.75,101.05,101.5,97.28
24-Nov-86,91.77,,247.45,90.88,99.01,,,18.25,102.36,94.06,103.22,101.56,101.7,97.82
25-Nov-86,91.94,,248.17,91.08,99.3,,,18.57,102.59,94.17,103.45,101.79,101.9,98.09
26-Nov-86,92.08,,248.77,91.2,99.54,,,18.75,102.83,94.17,103.68,101.98,101.92,98.31
28-Nov-86,92.49,,249.22,91.18,99.74,,,18.99,103.17,94.36,104.01,102.13,102.2,98.47
01-Dec-86,92.1,,249.05,91.48,99.67,,,19.24,102.91,94.45,103.71,102.16,102.19,98.41
02-Dec-86,93.03,,254,91.75,101.51,,,19.32,104.3,93.73,105.24,103.01,101.3,100.31
03-Dec-86,92.99,,253.85,91.78,101.46,,,19.9,104.2,93.75,105.16,102.98,101.19,100.24
04-Dec-86,92.83,,253.04,91.8,101.22,,,20.41,104.05,93.77,105.01,102.92,101.65,99.93
05-Dec-86,92.68,,251.17,91.69,100.55,,,20.74,103.75,94.23,104.6,102.71,102.01,99.2
08-Dec-86,92.85,,251.16,91.76,100.56,,,20.19,103.84,94.54,104.66,102.79,102.38,99.2
09-Dec-86,92.52,,249.28,91.73,99.85,,,21.05,103.3,95,104.04,102.5,102.84,98.49
10-Dec-86,92.93,,250.96,91.9,100.53,,,20.59,103.93,94.85,104.7,102.91,102.81,99.14
11-Dec-86,92.57,,248.17,91.67,99.44,,,20.77,103.13,95.52,103.79,102.39,103.27,98.07
12-Dec-86,92.49,,247.35,91.64,99.13,,,20.86,102.91,95.74,103.53,102.27,103.54,97.75
15-Dec-86,92.69,,248.21,91.96,99.48,,,20.9,103.25,96.03,103.85,102.61,103.78,98.08
16-Dec-86,93.39,,250.04,92.12,100.22,,,20.19,104.05,96.33,104.63,103.1,103.67,98.82
17-Dec-86,92.76,,247.56,92.12,99.24,,,20.38,103.11,96.79,103.65,102.63,103.81,97.84
18-Dec-86,92.68,,246.78,92.08,98.94,,,19.98,102.83,97.05,103.36,102.47,103.83,97.54
19-Dec-86,93.94,,249.73,92.35,100.13,,,19.4,104.1,97.74,104.54,103.23,103.83,98.71
22-Dec-86,93.4,,248.75,92.68,99.46,,,19.21,103.61,97.85,103.94,103.15,103.94,98.23
23-Dec-86,92.85,,246.34,92.48,98.68,,,18.77,102.86,98.01,103.22,102.67,104.22,97.28
24-Dec-86,92.97,,246.75,92.69,98.71,,,18.49,103.04,98.22,103.32,102.88,104.34,97.4
26-Dec-86,93.19,,246.92,92.72,98.82,,,18.96,103.21,98.47,103.46,102.98,104.43,97.46
29-Dec-86,92.81,,244.67,92.13,98.28,,,18.41,102.51,98.47,102.93,102.29,104.49,96.72
30-Dec-86,92.39,,243.37,92.14,97.82,,,18.22,102.03,98.54,102.48,102.06,104.53,96.18
31-Dec-86,92.12,,242.17,91.68,97.38,,,18.71,101.57,98.27,102.19,101.58,104.36,95.85
02-Jan-87,93.34,,246.45,92.93,98.58,,,18.79,103.25,99.24,103.44,103.11,104.81,97.28
05-Jan-87,94.55,,252.19,93.63,100.45,,,18.05,105.16,98.59,105.25,104.44,104.6,99.48
06-Jan-87,94.87,,252.78,93.69,100.71,,,18.1,105.45,98.82,105.53,104.63,104.75,99.72
07-Jan-87,95.09,,255.33,93.82,101.59,,,17.84,106.08,97.73,106.21,105.02,104.4,100.73
08-Jan-87,95.68,,257.28,93.86,102.3,,,17.64,106.84,97.52,106.99,105.43,104.39,101.51
09-Jan-87,95.5,,258.73,93.9,102.83,,,17.28,106.93,96.28,107.22,105.5,104.01,102.09
12-Jan-87,95.54,,260.3,93.94,103.38,,,17.07,107,95.4,107.39,105.54,103.28,102.72
13-Jan-87,95.49,,259.95,93.95,103.25,,,17.23,107.07,95.46,107.45,105.59,103.69,102.59
14-Jan-87,95.45,,262.64,93.97,104.27,,,17.23,107.16,93.86,107.69,105.65,102.13,103.66
15-Jan-87,95.14,,265.49,93.98,105.34,,,19.62,106.84,92.38,107.45,105.5,98.87,104.8
16-Jan-87,95.49,,266.28,93.99,105.72,,,19.82,107.22,91.91,107.7,105.63,98.74,105.11
19-Jan-87,95.94,,269.34,94.66,106.21,,,20.07,107.79,92.74,108.69,106.28,99.1,106.12
20-Jan-87,95.82,,269.04,94.41,106.07,,,21.69,107.65,92.43,108.6,106.07,98.95,106.1
21-Jan-87,95.58,,267.84,94.31,105.8,,,21.95,107.38,92.26,108.19,105.89,98.91,105.65
22-Jan-87,96.38,,273.91,95.12,106.66,,,22.5,108.28,93.38,110.11,106.79,99.33,107.87
23-Jan-87,95.78,,270.1,94.24,106.11,,,24.56,107.6,92.11,108.99,105.97,98.85,106.54
26-Jan-87,95.61,,269.61,94.58,105.9,,,25.37,107.41,92.63,108.73,106.06,99.05,106.34
27-Jan-87,96.48,,273.75,94.98,106.78,,,25.88,108.4,93.12,110.14,106.77,99.42,107.85
28-Jan-87,96.8,,275.4,95.19,107.1,,,25.15,108.75,93.43,110.69,107.07,99.55,108.48
29-Jan-87,96.84,,274.24,95.19,107.14,,,25.55,108.79,93.41,110.38,107.09,99.57,108.02
30-Jan-87,96.86,,274.08,95.23,107.15,,,24.71,108.82,93.4,110.31,107.13,99.86,107.93
02-Feb-87,97.16,,276.45,95.64,107.47,,,23.44,109.15,93.98,111.06,107.51,100.04,108.81
03-Feb-87,97.36,,275.99,95.63,107.7,,,23.6,109.39,93.96,111,107.63,99.96,108.64
04-Feb-87,97.68,,279.64,95.88,107.98,,,23.33,109.74,94.37,112.13,107.95,100.11,110.08
05-Feb-87,97.94,,281.16,95.95,108.3,,,23.55,110.04,94.46,112.65,108.14,100.18,110.67
06-Feb-87,97.8,,280.04,96,108.13,,,23.64,109.87,94.53,112.29,108.09,100.2,110.24
09-Feb-87,97.69,,278.16,96.04,108.01,,,23.61,109.75,94.58,111.71,108.04,100.25,109.51
10-Feb-87,97.46,,275.07,95.93,107.78,,,23.82,109.5,94.38,110.76,107.86,100.23,108.31
11-Feb-87,98.01,,277.54,96.07,108.36,,,23.55,110.11,94.61,111.65,108.24,100.28,109.29
12-Feb-87,97.73,,275.62,96.07,108.05,,,23.73,109.79,94.61,111,108.09,100.3,108.54
13-Feb-87,97.86,,279.7,96.22,108.19,,,22.74,109.94,94.86,112.22,108.25,100.37,110.16
17-Feb-87,98.04,,285.49,96.32,108.37,,,22.99,110.14,94.97,113.98,108.39,100.44,112.45
18-Feb-87,98.2,,285.42,96.33,108.55,,,23.89,110.33,94.99,114.02,108.49,100.45,112.43
19-Feb-87,98.15,,285.57,96.34,108.5,,,23.9,110.27,95.01,114.05,108.48,100.47,112.5
20-Feb-87,98.19,,285.48,96.33,108.53,,,23.58,110.33,95.01,113.98,108.46,100.47,112.46
23-Feb-87,97.44,,282.38,95.94,107.51,,,23.5,109.42,94.82,112.94,107.78,100.01,111.41
24-Feb-87,97.71,,282.88,96.06,107.78,,,23.48,109.69,94.94,113.22,107.99,100.29,111.53
25-Feb-87,98,,284,96.33,108.2,,,23.15,110.07,95.13,113.6,108.34,100.55,111.88
26-Feb-87,97.8,,282.96,96.26,107.87,,,23.21,109.82,95.16,113.22,108.18,100.44,111.48
27-Feb-87,98.3,,284.2,96.36,108.41,,,22.77,110.37,95.28,113.81,108.51,100.59,111.93
02-Mar-87,98,,283,96.45,108.02,,,22.86,110.04,95.41,113.36,108.38,100.76,111.4
03-Mar-87,98.44,,284.12,96.75,108.48,,,22.26,110.51,95.91,113.76,108.78,100.78,111.79
04-Mar-87,99.46,,288.62,97.5,110.07,,,21.95,111.92,96.22,115.32,109.91,101.42,113.39
05-Mar-87,99.91,,290.52,97.81,110.74,,,21.51,112.53,96.4,115.98,110.38,101.57,114.1
06-Mar-87,100.25,,290.66,97.9,110.94,,,20.4,112.8,96.83,116.15,110.57,101.72,114.14
09-Mar-87,99.79,,288.3,97.83,110.17,,,20.28,112.2,97.13,115.3,110.23,101.77,113.22
10-Mar-87,100.31,,290.86,98.19,111.09,,,19.95,112.98,97.16,116.22,110.82,101.79,114.21
11-Mar-87,100.32,,290.31,98.14,110.96,,,20.45,112.92,97.3,116.06,110.76,101.8,114
12-Mar-87,100.54,,291.22,98.33,111.3,,,20.4,113.26,97.47,116.4,111.04,101.82,114.37
13-Mar-87,100.43,,289.89,98.34,110.86,,,20.11,112.97,97.98,115.95,110.91,101.96,113.83
16-Mar-87,100.3,,288.23,98.27,110.26,,,20.34,112.51,98.61,115.31,110.63,102.01,113.19
17-Mar-87,100.89,,292.47,98.63,111.84,,,20.17,113.88,97.67,116.93,111.52,102.02,114.86
18-Mar-87,101.16,,292.78,98.67,112.02,,,20.15,114.12,97.94,117.1,111.66,102.04,114.99
19-Mar-87,101.27,,294.08,98.75,112.52,,,20.54,114.55,97.41,117.63,111.92,102.05,115.51
20-Mar-87,101.37,,298.17,98.69,114.12,,,22.01,115.32,94.78,119.18,112.21,102.05,117.11
23-Mar-87,101.47,,301.16,99.33,113.89,,,23.54,115.67,95.4,119.24,112.73,102.59,118.12
24-Mar-87,101.54,,301.64,99.28,114.08,,,23.93,115.74,95.26,119.38,112.74,102.58,118.29
25-Mar-87,101.35,,300.38,99.28,113.8,,,24.62,115.48,95.37,119.13,112.62,102.72,117.84
26-Mar-87,101.46,,300.93,99.38,113.92,,,24.22,115.61,95.47,119.16,112.74,102.74,118.02
27-Mar-87,100.8,,296.13,98.84,113.27,,,23.69,114.55,95.12,118.4,111.92,102.3,116.25
30-Mar-87,99.21,,289.2,97.69,112.08,,,24.01,112.42,94.11,116.83,110.22,101.25,113.97
31-Mar-87,100.08,,291.7,98.24,112.61,,,23.03,113.46,94.65,117.62,111.04,101.88,114.7
01-Apr-87,100.27,,292.39,98.61,112.62,,,22.88,113.71,95.06,117.71,111.38,102.19,114.83
02-Apr-87,100.69,,293.63,98.8,113.05,,,22.94,114.21,95.26,118.15,111.74,102.4,115.27
03-Apr-87,101.96,,300.41,99.94,114.35,,,23.36,116.23,96.13,119.6,113.37,103.29,117.75
06-Apr-87,102.41,,301.95,100.12,114.7,,,22.95,116.68,96.51,119.97,113.68,103.47,118.34
07-Apr-87,101.54,,296.69,99.54,114.07,,,23.46,115.37,95.99,118.88,112.72,103.26,116.32
08-Apr-87,101.67,,297.26,99.69,113.97,,,24.38,115.51,96.25,119.02,112.88,103.31,116.54
09-Apr-87,100.66,,292.86,99.01,113.03,,,26.06,114.06,95.61,117.88,111.79,102.74,114.93
10-Apr-87,100.66,,292.49,99.11,113.27,,,26.39,114.06,95.67,117.81,111.85,102.89,114.72
13-Apr-87,98.59,,285.62,97.51,111.31,,,26.01,111.46,93.22,116.24,109.67,101.68,112.17
14-Apr-87,96.44,,279.16,95.82,110.5,,,28.97,108.97,91.31,114.71,107.5,99.46,110.41
15-Apr-87,98.27,,284.44,97.33,111.26,,,27.59,111.05,92.81,115.89,109.37,102.09,111.66
16-Apr-87,99.15,,286.91,98.02,111.89,,,27.48,112.08,93.86,116.12,110.18,103.88,112.46
20-Apr-87,99.1,,286.09,98.01,111.81,,,27.18,112.11,93.92,116.05,110.15,104.35,112.19
21-Apr-87,100.36,,293.07,99.04,113.37,,,27.22,114.09,93.89,118.16,111.57,104.5,114.6
22-Apr-87,99.44,,287.19,98.2,112.14,,,27.95,112.46,94.03,116.3,110.44,104.66,112.52
23-Apr-87,99.23,,286.82,98.28,112.13,,,29.13,112.33,94.07,116.21,110.38,104.4,112.42
24-Apr-87,98.06,,281.52,97.45,110.83,,,30.23,110.57,93.99,114.38,109.16,103.75,110.69
27-Apr-87,98.09,,281.83,97.41,111.08,,,31.46,110.65,93.8,114.5,109.16,103.68,110.89
28-Apr-87,98.31,,282.51,97.62,111.13,,,31.2,110.93,93.9,114.77,109.41,104.1,110.96
29-Apr-87,99.14,,284.57,98.08,111.76,,,29.22,111.86,94.59,115.56,110.15,104.5,111.65
30-Apr-87,100.17,,288.36,98.98,112.37,,,28.45,113.29,95.11,116.92,111.31,105.33,112.8
01-May-87,100.15,,288.03,99.15,112.27,,,28.22,113.25,95.38,116.8,111.38,105.8,112.61
04-May-87,100.52,,289.36,99.44,112.51,,,27.18,113.76,95.47,117.35,111.79,105.93,113.06
05-May-87,101.54,,295.34,100.11,113.99,,,25.68,115.69,94.93,119.49,112.93,106.07,115.33
06-May-87,101.79,,295.47,100.18,114.01,,,25.66,115.93,95.17,119.64,113.13,106.29,115.36
07-May-87,101.62,,294.71,100.28,113.69,,,25.45,115.75,95.31,119.4,113.09,106.64,115.05
08-May-87,101.69,,293.37,100.23,113.34,,,25.27,115.5,95.99,118.93,113.04,106.73,114.54
11-May-87,101.7,,291.57,100.15,113.07,,,27.02,115.05,96.87,118.23,112.92,106.91,113.84
12-May-87,101.88,,293.3,100.46,113.31,,,26.96,115.69,96.57,118.95,113.3,106.93,114.53
13-May-87,102.08,,293.98,100.6,113.39,,,26.33,116,96.74,119.24,113.51,106.95,114.81
14-May-87,102.47,,294.24,100.66,113.38,,,25.11,116.25,97.33,119.37,113.76,106.96,114.92
15-May-87,101.5,,287.43,100.64,111.4,,,25.06,113.67,99.96,116.51,112.6,106.96,112.26
18-May-87,101.24,,286.65,100.55,111.18,,,25.37,113.46,99.74,116.35,112.43,107.33,111.97
19-May-87,99.84,,279.62,99.28,109.77,,,26.57,111.28,99.72,114.69,110.76,106.45,109.8
20-May-87,99.34,,278.21,99.09,109.31,,,26.19,110.77,99.36,114.19,110.41,106.51,109.31
21-May-87,100.03,,280.17,99.56,109.75,,,25.13,111.6,99.73,114.93,111.06,106.87,109.84
22-May-87,100.72,,282.16,99.94,110.16,,,24.93,112.39,100.01,115.54,111.69,107.26,110.43
26-May-87,102.33,,289.11,101.44,111.66,,,23.92,114.72,100.69,117.31,113.53,108.05,112.65
27-May-87,102.45,,288.73,101.57,111.48,,,23.15,114.83,101.05,117.34,113.66,108.26,112.46
28-May-87,102.84,,290.76,102.04,111.93,,,22.51,115.45,101.17,117.77,114.2,108.42,113.15
29-May-87,103.08,,290.1,101.94,111.73,,,22.52,115.46,101.56,117.8,114.22,108.71,112.87
